Date,Open,High,Low,Close,Volume
20241015  08:26:30,583.88,583.91,583.82,583.84,256
20241015  08:27:00,583.84,583.97,583.83,583.96,206
20241015  08:27:30,583.94,583.99,583.9,583.94,139
20241015  08:28:00,583.94,583.95,583.86,583.88,238
20241015  08:28:30,583.88,583.88,583.43,583.52,996
20241015  08:29:00,583.53,583.6,583.34,583.38,1108
20241015  08:29:30,583.39,583.42,583.19,583.26,890
20241015  08:30:00,583.24,583.31,583.0,583.23,1209
20241015  08:30:30,583.22,583.22,583.03,583.12,1194
20241015  08:31:00,583.11,583.22,583.01,583.05,1330
20241015  08:31:30,583.06,583.15,582.9,582.9,927
20241015  08:32:00,582.89,583.04,582.79,582.99,865
20241015  08:32:30,582.98,583.06,582.79,582.82,834
20241015  08:33:00,582.84,582.91,582.7,582.74,972
20241015  08:33:30,582.73,582.76,582.55,582.62,1268
20241015  08:34:00,582.63,582.7,582.14,582.23,1009
20241015  08:34:30,582.22,582.5,582.17,582.5,1457
20241015  08:35:00,582.48,582.55,582.35,582.45,746
20241015  08:35:30,582.44,582.44,582.32,582.36,634
20241015  08:36:00,582.36,582.36,582.04,582.2,1270
20241015  08:36:30,582.19,582.19,582.08,582.15,927
20241015  08:37:00,582.15,582.23,581.92,581.97,1151
20241015  08:37:30,581.98,582.1,581.88,581.88,979
20241015  08:38:00,581.87,582.01,581.65,581.97,949
20241015  08:38:30,581.95,582.1,581.93,582.09,1450
20241015  08:39:00,582.09,582.09,581.72,581.76,1044
20241015  08:39:30,581.76,581.96,581.72,581.79,1079
20241015  08:40:00,581.79,581.8,581.4,581.47,1465
20241015  08:40:30,581.47,581.54,581.34,581.35,1209
20241015  08:41:00,581.35,581.62,581.29,581.52,994
20241015  08:41:30,581.51,581.7,581.49,581.66,2434
20241015  08:42:00,581.66,582.03,581.6,582.02,2474
20241015  08:42:30,582.01,582.28,581.99,582.05,1148
20241015  08:43:00,582.06,582.1,581.89,582.02,792
20241015  08:43:30,581.98,582.08,581.93,581.98,516
20241015  08:44:00,581.93,582.06,581.81,581.82,276
20241015  08:44:30,581.85,581.96,581.81,581.91,372
20241015  08:45:00,581.89,581.91,581.7,581.77,569
20241015  08:45:30,581.78,581.94,581.73,581.83,426
20241015  08:46:00,581.82,581.93,581.76,581.93,419
20241015  08:46:30,581.91,581.97,581.81,581.91,350
20241015  08:47:00,581.93,582.04,581.81,581.96,561
20241015  08:47:30,581.97,582.08,581.9,582.04,1522
20241015  08:48:00,582.04,582.29,582.04,582.23,685
