Date,Open,High,Low,Close,Volume
20230420,315.69,319.27,314.97,316.28,416087
20230421,315.9,317.4,314.1,316.61,347154
20230424,316.36,317.74,313.74,315.95,304665
20230425,314.29,314.97,309.89,309.99,386219
20230426,313.44,314.94,311.34,311.87,364639
20230427,315.71,320.86,315.05,320.35,419399
20230428,320.12,322.65,318.96,322.56,419003
20230501,322.09,323.63,321.09,322.19,307681
20230502,322.12,322.45,317.61,319.38,406546
20230503,319.75,322.47,317.18,317.29,445342
20230504,317.06,318.23,315.11,316.17,362635
20230505,318.46,323.76,318.1,322.89,367067
20230508,322.4,324.04,321.31,323.69,267776
20230509,322.0,322.88,321.32,321.64,238931
20230510,324.11,326.01,321.6,325.14,445036
20230511,325.7,326.75,324.12,326.2,304210
20230512,326.7,327.17,322.94,325.03,312708
20230515,325.52,327.03,323.96,326.79,242979
20230516,326.06,328.91,326.02,327.16,288159
20230517,328.24,331.71,327.04,331.12,349234
20230518,331.52,337.49,331.5,337.27,480800
20230519,337.49,338.21,335.43,336.51,393970
20230522,336.26,338.67,336.24,337.64,287507
20230523,335.89,337.06,333.0,333.36,357807
20230524,331.37,332.91,329.56,331.65,395335
20230525,339.16,341.01,336.66,339.72,497332
20230526,340.76,349.25,340.66,348.4,435881
20230530,352.71,353.93,348.53,349.98,501876
20230531,348.37,350.6,346.51,347.99,428312
20230601,347.73,353.36,346.66,352.01,357899
20230602,353.76,355.83,352.01,354.65,358587
20230605,354.43,357.5,353.85,354.9,348786
20230606,354.29,355.82,352.93,354.84,315606
20230607,355.13,357.12,348.18,348.82,504072
20230608,349.12,353.62,348.89,353.15,333398
20230609,354.63,357.66,353.03,354.5,376041
20230612,356.19,360.59,355.2,360.49,286026
20230613,363.29,364.11,360.03,363.26,372546
20230614,363.27,366.19,360.42,365.9,447896
20230615,364.61,371.77,363.98,370.26,461655
20230616,372.72,372.85,367.48,367.93,398733
20230620,365.98,368.32,363.88,366.9,317223
20230621,365.73,366.18,360.96,361.9,345977
20230622,360.64,366.33,360.22,366.17,325454
20230623,362.21,364.88,360.82,362.54,334202
20230626,362.0,364.84,357.59,357.68,368397
20230627,359.25,364.57,358.51,363.83,329574
20230628,361.99,366.52,361.9,364.54,355183
20230629,364.24,364.89,362.14,363.81,306959
20230630,367.55,370.49,367.23,369.42,375395
20230703,370.07,370.93,368.97,370.29,150983
20230705,368.69,372.01,368.66,370.28,262659
20230706,366.53,367.91,364.52,367.46,344426
